PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,SurvivedStr,FareLog2
126,1,3,male,12.0,1,0,11.2417,C,Yes,3.490788315154136
128,1,3,male,24.0,0,0,7.1417,S,Yes,2.8362675321874073
134,1,2,female,29.0,1,0,26.0,S,Yes,4.700439718141092
137,1,1,female,19.0,0,2,26.2833,S,Yes,4.71607451951052
142,1,3,female,22.0,0,0,7.75,S,Yes,2.9541963103868754
143,1,3,female,24.0,1,0,15.85,S,Yes,3.986410935252045
147,1,3,male,27.0,0,0,7.7958,S,Yes,2.9626970789604314
152,1,1,female,22.0,1,0,66.6,S,Yes,6.0574502721839
157,1,3,female,16.0,0,0,7.7333,Q,Yes,2.9510841809925443
162,1,2,female,40.0,0,0,15.75,S,Yes,3.9772799234999163
166,1,3,male,9.0,0,2,20.525,S,Yes,4.359310316890443
173,1,3,female,1.0,1,1,11.1333,S,Yes,3.4768093774128372
184,1,2,male,1.0,2,1,39.0,S,Yes,5.285402218862249
185,1,3,female,4.0,0,2,22.025,S,Yes,4.461070114033051
188,1,1,male,45.0,0,0,26.55,S,Yes,4.730639955916791
191,1,2,female,32.0,0,0,13.0,S,Yes,3.700439718141092
193,1,3,female,19.0,1,0,7.8542,S,Yes,2.97346433537819
194,1,2,male,3.0,1,1,26.0,S,Yes,4.700439718141092
195,1,1,female,44.0,0,0,27.7208,C,Yes,4.792896987982205
196,1,1,female,58.0,0,0,146.5208,C,Yes,7.194961673035131
205,1,3,male,18.0,0,0,8.05,S,Yes,3.0089887832272546
208,1,3,male,26.0,0,0,18.7875,C,Yes,4.231701199029002
209,1,3,female,16.0,0,0,7.75,Q,Yes,2.9541963103868754
210,1,1,male,40.0,0,0,31.0,C,Yes,4.954196310386875
212,1,2,female,35.0,0,0,21.0,S,Yes,4.392317422778761
216,1,1,female,31.0,1,0,113.275,C,Yes,6.823685680626027
217,1,3,female,27.0,0,0,7.925,S,Yes,2.986410935252045
219,1,1,female,32.0,0,0,76.2917,C,Yes,6.253454205417951
221,1,3,male,16.0,0,0,8.05,S,Yes,3.0089887832272546
225,1,1,male,38.0,1,0,90.0,S,Yes,6.491853096329675
227,1,2,male,19.0,0,0,10.5,S,Yes,3.3923174227787602
231,1,1,female,35.0,1,0,83.475,S,Yes,6.383272283175753
234,1,3,female,5.0,4,2,31.3875,S,Yes,4.9721182183841375
238,1,2,female,8.0,0,2,26.25,S,Yes,4.714245517666122
248,1,2,female,24.0,0,2,14.5,S,Yes,3.8579809951275723
249,1,1,male,37.0,1,1,52.5542,S,Yes,5.715734160255453
256,1,3,female,29.0,0,2,15.2458,C,Yes,3.930339950433508
258,1,1,female,30.0,0,0,86.5,S,Yes,6.434628227636725
259,1,1,female,35.0,0,0,512.3292,C,Yes,9.000927309743414
260,1,2,female,50.0,0,1,26.0,S,Yes,4.700439718141092
262,1,3,male,3.0,4,2,31.3875,S,Yes,4.9721182183841375
268,1,3,male,25.0,1,0,7.775,S,Yes,2.95884267524324
269,1,1,female,58.0,0,1,153.4625,S,Yes,7.261742352382909
270,1,1,female,35.0,0,0,135.6333,S,Yes,7.0835676149075075
272,1,3,male,25.0,0,0,0.0,S,Yes,-inf
273,1,2,female,41.0,0,1,19.5,S,Yes,4.285402218862249
276,1,1,female,63.0,1,0,77.9583,S,Yes,6.284630725653631
280,1,3,female,35.0,1,1,20.25,S,Yes,4.339850002884624
284,1,3,male,19.0,0,0,8.05,S,Yes,3.0089887832272546
287,1,3,male,30.0,0,0,9.5,S,Yes,3.2479275134435857
289,1,2,male,42.0,0,0,13.0,S,Yes,3.700439718141092
290,1,3,female,22.0,0,0,7.75,Q,Yes,2.9541963103868754
291,1,1,female,26.0,0,0,78.85,S,Yes,6.301038849903148
292,1,1,female,19.0,1,0,91.0792,C,Yes,6.509049714413045
300,1,1,female,50.0,0,1,247.5208,C,Yes,7.951405954546675
306,1,1,male,0.92,1,2,151.55,S,Yes,7.2436500418969665
308,1,1,female,17.0,1,0,108.9,C,Yes,6.766860143829545
310,1,1,female,30.0,0,0,56.9292,C,Yes,5.831096921225554
311,1,1,female,24.0,0,0,83.1583,C,Yes,6.377788360459327
312,1,1,female,18.0,2,2,262.375,C,Yes,8.035486451292154
316,1,3,female,26.0,0,0,7.8542,S,Yes,2.97346433537819
317,1,2,female,24.0,1,0,26.0,S,Yes,4.700439718141092
319,1,1,female,31.0,0,2,164.8667,S,Yes,7.365156220470642
320,1,1,female,40.0,1,1,134.5,C,Yes,7.071462362556624
323,1,2,female,30.0,0,0,12.35,Q,Yes,3.626439136697315
324,1,2,female,22.0,1,1,29.0,S,Yes,4.857980995127572
326,1,1,female,36.0,0,0,135.6333,C,Yes,7.0835676149075075
328,1,2,female,36.0,0,0,13.0,S,Yes,3.700439718141092
329,1,3,female,31.0,1,1,20.525,S,Yes,4.359310316890443
330,1,1,female,16.0,0,1,57.9792,C,Yes,5.857463522043222
338,1,1,female,41.0,0,0,134.5,C,Yes,7.071462362556624
339,1,3,male,45.0,0,0,8.05,S,Yes,3.0089887832272546
341,1,2,male,2.0,1,1,26.0,S,Yes,4.700439718141092
342,1,1,female,24.0,3,2,263.0,S,Yes,8.038918989292302
346,1,2,female,24.0,0,0,13.0,S,Yes,3.700439718141092
347,1,2,female,40.0,0,0,13.0,S,Yes,3.700439718141092
349,1,3,male,3.0,1,1,15.9,S,Yes,3.990954860396993
357,1,1,female,22.0,0,1,55.0,S,Yes,5.78135971352466
367,1,1,female,60.0,1,0,75.25,C,Yes,6.233619676759702
370,1,1,female,24.0,0,0,69.3,C,Yes,6.1147834472498515
371,1,1,male,25.0,1,0,55.4417,C,Yes,5.792899590168542
377,1,3,female,22.0,0,0,7.25,S,Yes,2.8579809951275723
381,1,1,female,42.0,0,0,227.525,C,Yes,7.829881264292403
382,1,3,female,1.0,0,2,15.7417,C,Yes,3.9765194457158244
384,1,1,female,35.0,1,0,52.0,S,Yes,5.700439718141092
388,1,2,female,36.0,0,0,13.0,S,Yes,3.700439718141092
390,1,2,female,17.0,0,0,12.0,C,Yes,3.584962500721156
391,1,1,male,36.0,1,2,120.0,S,Yes,6.906890595608519
392,1,3,male,21.0,0,0,7.7958,S,Yes,2.9626970789604314
394,1,1,female,23.0,1,0,113.275,C,Yes,6.823685680626027
395,1,3,female,24.0,0,2,16.7,S,Yes,4.06177619758669
400,1,2,female,28.0,0,0,12.65,S,Yes,3.6610654798069477
401,1,3,male,39.0,0,0,7.925,S,Yes,2.986410935252045
408,1,2,male,3.0,1,1,18.75,S,Yes,4.22881869049588
413,1,1,female,33.0,1,0,90.0,Q,Yes,6.491853096329675
415,1,3,male,44.0,0,0,7.925,S,Yes,2.986410935252045
417,1,2,female,34.0,1,1,32.5,S,Yes,5.022367813028454
418,1,2,female,18.0,0,2,13.0,S,Yes,3.700439718141092
427,1,2,female,28.0,1,0,26.0,S,Yes,4.700439718141092
428,1,2,female,19.0,0,0,26.0,S,Yes,4.700439718141092
430,1,3,male,32.0,0,0,8.05,S,Yes,3.0089887832272546
431,1,1,male,28.0,0,0,26.55,S,Yes,4.730639955916791
433,1,2,female,42.0,1,0,26.0,S,Yes,4.700439718141092
436,1,1,female,14.0,1,2,120.0,S,Yes,6.906890595608519
438,1,2,female,24.0,2,3,18.75,S,Yes,4.22881869049588
441,1,2,female,45.0,1,1,26.25,S,Yes,4.714245517666122
444,1,2,female,28.0,0,0,13.0,S,Yes,3.700439718141092
446,1,1,male,4.0,0,2,81.8583,S,Yes,6.355056800673534
447,1,2,female,13.0,0,1,19.5,S,Yes,4.285402218862249
448,1,1,male,34.0,0,0,26.55,S,Yes,4.730639955916791
449,1,3,female,5.0,2,1,19.2583,C,Yes,4.267408451764712
450,1,1,male,52.0,0,0,30.5,S,Yes,4.930737337562887
454,1,1,male,49.0,1,0,89.1042,C,Yes,6.4774215308586225
456,1,3,male,29.0,0,0,7.8958,C,Yes,2.981085446903925
459,1,2,female,50.0,0,0,10.5,S,Yes,3.3923174227787602
461,1,1,male,48.0,0,0,26.55,S,Yes,4.730639955916791
470,1,3,female,0.75,2,1,19.2583,C,Yes,4.267408451764712
473,1,2,female,33.0,1,2,27.75,S,Yes,4.794415866350106
474,1,2,female,23.0,0,0,13.7917,C,Yes,3.7857283929580796
480,1,3,female,2.0,0,1,12.2875,S,Yes,3.6191195114532184
484,1,3,female,63.0,0,0,9.5875,S,Yes,3.261154672615571
485,1,1,male,25.0,1,0,91.0792,C,Yes,6.509049714413045
487,1,1,female,35.0,1,0,90.0,S,Yes,6.491853096329675
490,1,3,male,9.0,1,1,15.9,S,Yes,3.990954860396993
497,1,1,female,54.0,1,0,78.2667,C,Yes,6.2903267119371105
505,1,1,female,16.0,0,0,86.5,S,Yes,6.434628227636725
507,1,2,female,33.0,0,2,26.0,S,Yes,4.700439718141092
510,1,3,male,26.0,0,0,56.4958,S,Yes,5.820071713841798
511,1,3,male,29.0,0,0,7.75,Q,Yes,2.9541963103868754
513,1,1,male,36.0,0,0,26.2875,S,Yes,4.716305039844417
514,1,1,female,54.0,1,0,59.4,C,Yes,5.892391025913404
517,1,2,female,34.0,0,0,10.5,S,Yes,3.3923174227787602
519,1,2,female,36.0,1,0,26.0,S,Yes,4.700439718141092
521,1,1,female,30.0,0,0,93.5,S,Yes,6.546894459887636
524,1,1,female,44.0,0,1,57.9792,C,Yes,5.857463522043222
527,1,2,female,50.0,0,0,10.5,S,Yes,3.3923174227787602
531,1,2,female,2.0,1,1,26.0,S,Yes,4.700439718141092
536,1,2,female,7.0,0,2,26.25,S,Yes,4.714245517666122
538,1,1,female,30.0,0,0,106.425,C,Yes,6.733693279894345
540,1,1,female,22.0,0,2,49.5,C,Yes,5.6293566200796095
541,1,1,female,36.0,0,2,71.0,S,Yes,6.149747119504682
544,1,2,male,32.0,1,0,26.0,S,Yes,4.700439718141092
547,1,2,female,19.0,1,0,26.0,S,Yes,4.700439718141092
550,1,2,male,8.0,1,1,36.75,S,Yes,5.199672344836364
551,1,1,male,17.0,0,2,110.8833,C,Yes,6.792898289075961
554,1,3,male,22.0,0,0,7.225,C,Yes,2.8529975876133165
555,1,3,female,22.0,0,0,7.775,S,Yes,2.95884267524324
557,1,1,female,48.0,1,0,39.6,C,Yes,5.307428525192248
559,1,1,female,39.0,1,1,79.65,S,Yes,6.315602456637947
560,1,3,female,36.0,1,0,17.4,S,Yes,4.121015400961366
570,1,3,male,32.0,0,0,7.8542,S,Yes,2.97346433537819
571,1,2,male,62.0,0,0,10.5,S,Yes,3.3923174227787602
572,1,1,female,53.0,2,0,51.4792,S,Yes,5.685917728768421
573,1,1,male,36.0,0,0,26.3875,S,Yes,4.721782768459794
577,1,2,female,34.0,0,0,13.0,S,Yes,3.700439718141092
578,1,1,female,39.0,1,0,55.9,S,Yes,5.804776377955828
580,1,3,male,32.0,0,0,7.925,S,Yes,2.986410935252045
581,1,2,female,25.0,1,1,30.0,S,Yes,4.906890595608519
582,1,1,female,39.0,1,1,110.8833,C,Yes,6.792898289075961
586,1,1,female,18.0,0,2,79.65,S,Yes,6.315602456637947
588,1,1,male,60.0,1,1,79.2,C,Yes,6.307428525192248
592,1,1,female,52.0,1,0,78.2667,C,Yes,6.2903267119371105
600,1,1,male,49.0,1,0,56.9292,C,Yes,5.831096921225554
601,1,2,female,24.0,2,1,27.0,S,Yes,4.754887502163468
605,1,1,male,35.0,0,0,26.55,C,Yes,4.730639955916791
608,1,1,male,27.0,0,0,30.5,S,Yes,4.930737337562887
609,1,2,female,22.0,1,2,41.5792,C,Yes,5.3777900953362705
610,1,1,female,40.0,0,0,153.4625,S,Yes,7.261742352382909
616,1,2,female,24.0,1,2,65.0,S,Yes,6.022367813028454
619,1,2,female,4.0,2,1,39.0,S,Yes,5.285402218862249
622,1,1,male,42.0,1,0,52.5542,S,Yes,5.715734160255453
623,1,3,male,20.0,1,1,15.7417,C,Yes,3.9765194457158244
628,1,1,female,21.0,0,0,77.9583,S,Yes,6.284630725653631
631,1,1,male,80.0,0,0,30.0,S,Yes,4.906890595608519
633,1,1,male,32.0,0,0,30.5,C,Yes,4.930737337562887
636,1,2,female,28.0,0,0,13.0,S,Yes,3.700439718141092
642,1,1,female,24.0,0,0,69.3,C,Yes,6.1147834472498515
645,1,3,female,0.75,2,1,19.2583,C,Yes,4.267408451764712
646,1,1,male,48.0,1,0,76.7292,C,Yes,6.2617038079262235
648,1,1,male,56.0,0,0,35.5,C,Yes,5.149747119504682
650,1,3,female,23.0,0,0,7.55,S,Yes,2.9164766444377164
652,1,2,female,18.0,0,1,23.0,S,Yes,4.523561956057013
661,1,1,male,50.0,2,0,133.65,S,Yes,7.062316027355716
665,1,3,male,20.0,1,0,7.925,S,Yes,2.986410935252045
671,1,2,female,40.0,1,1,39.0,S,Yes,5.285402218862249
674,1,2,male,31.0,0,0,13.0,S,Yes,3.700439718141092
678,1,3,female,18.0,0,0,9.8417,S,Yes,3.2989075401310526
680,1,1,male,36.0,0,1,512.3292,C,Yes,9.000927309743414
682,1,1,male,27.0,0,0,76.7292,C,Yes,6.2617038079262235
690,1,1,female,15.0,0,1,211.3375,S,Yes,7.723404973440706
691,1,1,male,31.0,1,0,57.0,S,Yes,5.832890014164741
692,1,3,female,4.0,0,1,13.4167,C,Yes,3.7459579617245136
701,1,1,female,18.0,1,0,227.525,C,Yes,7.829881264292403
702,1,1,male,35.0,0,0,26.2875,S,Yes,4.716305039844417
707,1,2,female,45.0,0,0,13.5,S,Yes,3.7548875021634687
708,1,1,male,42.0,0,0,26.2875,S,Yes,4.716305039844417
709,1,1,female,22.0,0,0,151.55,S,Yes,7.2436500418969665
711,1,1,female,24.0,0,0,49.5042,C,Yes,5.629479025375049
713,1,1,male,48.0,1,0,52.0,S,Yes,5.700439718141092
717,1,1,female,38.0,0,0,227.525,C,Yes,7.829881264292403
718,1,2,female,27.0,0,0,10.5,S,Yes,3.3923174227787602
721,1,2,female,6.0,0,1,33.0,S,Yes,5.044394119358453
725,1,1,male,27.0,1,0,53.1,S,Yes,5.730639955916791
727,1,2,female,30.0,3,0,21.0,S,Yes,4.392317422778761
731,1,1,female,29.0,0,0,211.3375,S,Yes,7.723404973440706
738,1,1,male,35.0,0,0,512.3292,C,Yes,9.000927309743414
743,1,1,female,21.0,2,2,262.375,C,Yes,8.035486451292154
745,1,3,male,31.0,0,0,7.925,S,Yes,2.986410935252045
748,1,2,female,30.0,0,0,13.0,S,Yes,3.700439718141092
751,1,2,female,4.0,1,1,23.0,S,Yes,4.523561956057013
752,1,3,male,6.0,0,1,12.475,S,Yes,3.640967910449898
755,1,2,female,48.0,1,2,65.0,S,Yes,6.022367813028454
756,1,2,male,0.67,1,1,14.5,S,Yes,3.8579809951275723
760,1,1,female,33.0,0,0,86.5,S,Yes,6.434628227636725
763,1,3,male,20.0,0,0,7.2292,C,Yes,2.8538360040379223
764,1,1,female,36.0,1,2,120.0,S,Yes,6.906890595608519
766,1,1,female,51.0,1,0,77.9583,S,Yes,6.284630725653631
775,1,2,female,54.0,1,3,23.0,S,Yes,4.523561956057013
778,1,3,female,5.0,0,0,12.475,S,Yes,3.640967910449898
780,1,1,female,43.0,0,1,211.3375,S,Yes,7.723404973440706
781,1,3,female,13.0,0,0,7.2292,C,Yes,2.8538360040379223
782,1,1,female,17.0,1,0,57.0,S,Yes,5.832890014164741
787,1,3,female,18.0,0,0,7.4958,S,Yes,2.9060824600865494
789,1,3,male,1.0,1,2,20.575,S,Yes,4.362820525534263
797,1,1,female,49.0,0,0,25.9292,S,Yes,4.6965057899394544
798,1,3,female,31.0,0,0,8.6833,S,Yes,3.1182434284826193
802,1,2,female,31.0,1,1,26.25,S,Yes,4.714245517666122
803,1,1,male,11.0,1,2,120.0,S,Yes,6.906890595608519
804,1,3,male,0.42,0,1,8.5167,C,Yes,3.090294531873986
805,1,3,male,27.0,0,0,6.975,S,Yes,2.8021932169418253
810,1,1,female,33.0,1,0,53.1,S,Yes,5.730639955916791
821,1,1,female,52.0,1,1,93.5,S,Yes,6.546894459887636
822,1,3,male,27.0,0,0,8.6625,S,Yes,3.1147834472498515
824,1,3,female,27.0,0,1,12.475,S,Yes,3.640967910449898
828,1,2,male,1.0,0,2,37.0042,C,Yes,5.209617121717881
830,1,1,female,62.0,0,0,80.0,,Yes,6.321928094887363
831,1,3,female,15.0,1,0,14.4542,C,Yes,3.8534168567309104
832,1,2,male,0.83,1,1,18.75,S,Yes,4.22881869049588
836,1,1,female,39.0,1,1,83.1583,C,Yes,6.377788360459327
839,1,3,male,32.0,0,0,56.4958,S,Yes,5.820071713841798
843,1,1,female,30.0,0,0,31.0,C,Yes,4.954196310386875
854,1,1,female,16.0,0,1,39.4,S,Yes,5.300123724569014
856,1,3,female,18.0,0,1,9.35,S,Yes,3.2249663650002742
857,1,1,female,45.0,1,1,164.8667,S,Yes,7.365156220470642
858,1,1,male,51.0,0,0,26.55,S,Yes,4.730639955916791
859,1,3,female,24.0,0,3,19.2583,C,Yes,4.267408451764712
863,1,1,female,48.0,0,0,25.9292,S,Yes,4.6965057899394544
866,1,2,female,42.0,0,0,13.0,S,Yes,3.700439718141092
867,1,2,female,27.0,1,0,13.8583,C,Yes,3.792678387572254
870,1,3,male,4.0,1,1,11.1333,S,Yes,3.4768093774128372
872,1,1,female,47.0,1,1,52.5542,S,Yes,5.715734160255453
875,1,2,female,28.0,1,0,24.0,C,Yes,4.584962500721156
876,1,3,female,15.0,0,0,7.225,C,Yes,2.8529975876133165
880,1,1,female,56.0,0,1,83.1583,C,Yes,6.377788360459327
881,1,2,female,25.0,0,1,26.0,S,Yes,4.700439718141092
888,1,1,female,19.0,0,0,30.0,S,Yes,4.906890595608519
890,1,1,male,26.0,0,0,30.0,C,Yes,4.906890595608519
